Rank,Team,OUEFT,MAYO II,Cougar,FBI,Aggie,TOTAL POINTS
1,Yukon A,100,87,100,96,96,479
2,Morris A,89,93,95,89,86,452
3,Classen A,96,100,,100,100,396
4,Morris B,70,80,82,81,71,384
5,Edmond Memorial A,93,,96,93,93,375
6,Plainview A,67,80,36,70,75,328
7,Heartland Middle,78,80,55,44,46,303
8,Stillwater A,85,20,73,26,79,283
9,Edmond Memorial B,81,,50,85,64,280
10,Norman A,63,,45,67,64,239
11,Edmond North A,,,73,70,82,225
12,Yukon B,48,13,64,22,43,190
13,Dickson A,74,,,56,54,184
14,El Reno A,33,40,18,52,25,168
14,Morris C,59,,,59,50,168
14,Norman North,52,60,45,11,,168
17,Deer Creek A,,60,,63,,123
18,Dickson C,37,,,48,36,121
19,Plainview B,41,,,30,39,110
20,El Reno B,19,40,32,7,,98
21,Noble A,56,,,41,,97
22,Jenks,,,95,,,95
23,Dickson B,44,,,33,11,88
24,Edmond Memorial C,,,82,,,82
25,Yukon C,19,47,,4,,70
26,Enid A,,13,32,,21,66
27,OSSM,,,64,,,64
28,Edmond North B,,,9,37,14,60
29,Classen B,,,,,57,57
30,Noble B,30,,,19,,49
31,Norman B,11,,23,,,34
32,Dickson D,11,,,15,7,33
33,Plainview C,,,,,32,32
34,Stillwater B,,,,,29,29
35,Deer Creek B,,27,,,,27
36,Sallisaw,26,,,,,26
37,LeFlore B,22,,,,,22
38,Clinton,,,,,18,18
39,Enid B,,,14,,,14
40,LeFlore A,4,,5,,4,13
